datetime,n. trips,n. collisions,Amt[PrecipHourly1],Temp[Temp],Visby[Visibility]
2014-02-08,549967,424,0.0,-2.928125,16069.75
2014-02-09,466492,450,0.0,-3.4875000000000003,16069.75
2014-02-10,435911,678,0.5117647058823529,-3.155,11521.625
2014-02-11,489373,636,0.0,-5.637500000000001,16069.75
2014-02-12,481968,640,0.0,-7.171875000000001,16069.75
2014-02-13,326187,447,1.5511627906976744,-0.6723404255319141,6174.042553191489
2014-02-14,472229,791,2.051428571428571,1.9780487804878053,10732.780487804876
2014-02-15,491375,516,0.2111111111111111,1.0837209302325586,10102.069767441859
2014-02-16,457332,464,0.2914285714285714,-2.0333333333333337,14012.923076923076
2014-02-17,391723,491,0.0,-4.209374999999999,16069.75
2014-02-18,419655,518,0.3914285714285714,0.30000000000000016,11151.159090909092
2014-02-19,446126,552,0.9677419354838712,2.474358974358975,10991.846153846154
2014-02-20,466020,556,0.6592592592592593,4.046875000000001,15530.28125
2014-02-21,503515,545,0.29743589743589743,4.583333333333332,4765.270833333333
2014-02-22,522080,587,0.36666666666666653,5.521875,15367.15625
2014-02-23,442458,414,0.0,6.803124999999999,16069.75
2014-02-24,439480,569,0.07241379310344828,4.744117647058824,16071.117647058823
2014-02-25,472383,513,0.02,-1.290625,16069.75
2014-02-26,492982,511,0.08717948717948719,-2.0261904761904757,11431.214285714286
2014-02-27,512342,571,0.05,-3.4542857142857146,14934.114285714288
2014-02-28,544363,655,0.0,-7.559374999999998,15969.1875
2014-03-01,554906,497,0.0,-3.6531250000000015,16069.75
2014-03-02,462065,344,0.0,2.309375,16019.46875
2014-03-03,463982,440,0.07941176470588235,-3.083333333333332,12879.833333333336
2014-03-04,499349,532,0.05,-6.762500000000002,16069.75
2014-03-05,508381,491,0.0,-0.5031250000000004,16069.75
2014-03-06,531137,558,0.0,-3.5187500000000003,16069.75
2014-03-07,547177,533,0.0,-1.022857142857143,15607.028571428571
2014-03-08,551574,515,0.0,5.4727272727272736,15772.636363636364
2014-03-09,473451,404,0.0,6.734374999999997,15956.96875
2014-03-10,442200,513,0.0,5.225714285714284,15106.2
2014-03-11,456983,510,0.0,9.484375000000002,16019.46875
2014-03-12,483326,515,0.10344827586206896,8.494444444444444,13693.638888888889
2014-03-13,549191,545,0.5242424242424243,0.4400000000000005,13094.8
2014-03-14,539176,585,0.0,-1.2718749999999994,16069.75
2014-03-15,547916,519,0.03333333333333333,8.5375,16069.75
2014-03-16,485008,412,0.012,4.284375,16069.75
2014-03-17,433321,519,0.0,-1.2205882352941178,15976.470588235294
2014-03-18,469975,551,0.0,0.6645161290322579,16072.0
2014-03-19,489567,525,0.0,2.3529411764705883,16071.117647058823
2014-03-20,500070,627,2.011428571428571,7.8704545454545425,12134.159090909092
2014-03-21,516535,589,0.0,7.316129032258064,16072.0
2014-03-22,534441,493,0.0,8.746875000000001,16069.75
2014-03-23,480744,427,0.0,6.6484848484848476,16070.454545454546
2014-03-24,443322,547,0.0,-1.4999999999999991,16069.75
2014-03-25,461531,474,0.0,-0.309375,16069.75
2014-03-26,502757,563,0.0,1.5124999999999995,15329.15625
2014-03-27,507907,538,0.0,-1.2531249999999998,16069.75
2014-03-28,522404,530,0.0,5.896875000000001,16069.75
2014-03-29,574530,569,1.36,8.426315789473682,11815.526315789473
2014-03-30,462771,437,5.446341463414634,9.389361702127653,5430.404255319149
2014-03-31,432430,559,1.0025641025641023,5.351162790697675,12714.697674418603
2014-04-01,462503,549,0.27307692307692305,7.659375000000002,16069.75
2014-04-02,483841,519,0.061538461538461535,6.3156250000000025,16069.75
2014-04-03,499912,592,0.061538461538461535,9.2,15956.96875
2014-04-04,544519,622,0.2941176470588236,6.391666666666664,14213.111111111111
2014-04-05,543175,580,0.16363636363636366,7.989999999999998,11848.525
2014-04-06,475267,484,0.0,7.315151515151515,16070.454545454546
2014-04-07,460614,533,0.15357142857142855,6.727777777777778,13666.444444444443
2014-04-08,467018,606,1.2857142857142856,11.087500000000004,5362.1875
2014-04-09,484663,595,0.256,12.196875000000002,16069.75
2014-04-10,498870,645,0.0,8.90625,16069.75
2014-04-11,506025,609,0.0,12.487500000000002,16069.75
2014-04-12,540202,578,0.0,14.849999999999998,16069.75
2014-04-13,472041,482,0.0,12.554285714285722,15979.8
2014-04-14,419268,513,0.0,13.475757575757578,15863.575757575756
2014-04-15,481424,452,0.6473684210526315,12.159183673469386,4476.510204081634
2014-04-16,495438,570,1.197297297297297,4.4923076923076914,14475.897435897437
2014-04-17,508415,508,0.08,5.318749999999999,16069.75
2014-04-18,514893,496,0.0,4.470588235294116,16071.117647058823
2014-04-19,483916,526,0.0,10.324999999999998,16069.75
2014-04-20,429066,393,0.0,10.515625,16069.75
2014-04-21,421347,521,0.0,8.856250000000003,16069.75
2014-04-22,463407,459,0.0,10.921875,16069.75
2014-04-23,501335,536,0.0,13.253125,15956.96875
2014-04-24,505056,586,0.0,10.8125,16069.75
2014-04-25,526282,617,0.0,11.434375,16069.75
2014-04-26,540090,548,1.4216216216216218,10.51276595744681,13938.170212765957
2014-04-27,473210,449,0.6666666666666666,11.130303030303027,16070.454545454546
2014-04-28,436246,597,0.0,12.333333333333336,16070.454545454546
2014-04-29,483147,555,0.028571428571428574,9.20606060606061,16070.454545454546
2014-04-30,497569,651,3.2410256410256406,7.202439024390241,9130.073170731708
2014-05-01,492691,650,8.3625,13.29183673469388,5576.469387755103
2014-05-02,516985,698,0.25172413793103443,16.20909090909091,15553.909090909092
2014-05-03,544063,590,0.012,15.125000000000005,16069.75
2014-05-04,475789,451,0.0,14.200000000000005,16071.117647058823
2014-05-05,461342,618,0.0,15.315151515151513,16070.454545454546
2014-05-06,483245,565,0.0,15.733333333333334,16073.272727272728
2014-05-07,484552,603,0.0,14.500000000000002,16069.75
2014-05-08,508104,596,0.7514285714285714,12.437837837837831,11566.405405405403
2014-05-09,523936,584,0.428125,14.531914893617024,5371.063829787234
2014-05-10,527537,549,1.2093023255813953,16.43103448275862,6053.344827586207
2014-05-11,454120,584,1.5233333333333334,20.481250000000006,15821.21875
2014-05-12,437492,581,0.02,19.081249999999994,16069.75
2014-05-13,473044,560,0.0,17.634375000000006,15969.1875
2014-05-14,466666,638,0.0,13.284210526315787,15692.289473684208
2014-05-15,495003,659,0.2375,17.33111111111111,5438.844444444445
2014-05-16,515834,700,0.2323529411764706,17.697872340425523,6460.468085106383
2014-05-17,506831,619,3.847058823529412,16.673684210526314,12647.263157894737
2014-05-18,473932,507,0.0,16.148484848484845,16070.454545454546
2014-05-19,452923,572,0.0,16.518750000000004,16069.75
2014-05-20,472199,650,0.0,19.05,16071.117647058823
2014-05-21,483979,575,0.0,20.584374999999994,16069.75
2014-05-22,489262,593,0.5800000000000001,15.73684210526316,12519.763157894737
2014-05-23,495859,660,0.5,16.11224489795918,12373.795918367348
2014-05-24,413311,486,1.0205882352941178,16.025641025641026,14744.76923076923
2014-05-25,378073,472,0.11379310344827585,17.618918918918922,15703.864864864863
2014-05-26,336173,433,0.0,21.728124999999995,16069.75
2014-05-27,432969,645,0.0,23.91875000000001,16069.75
2014-05-28,472420,538,0.0,17.049999999999994,16072.333333333336
2014-05-29,489739,663,0.0,13.38787878787879,16070.454545454546
2014-05-30,503977,650,0.0,16.049999999999994,16069.75
2014-05-31,511991,587,0.13793103448275862,17.478125000000006,15956.96875
2014-06-01,435163,604,0.0,17.737500000000008,16069.75
2014-06-02,428122,643,0.0,18.7875,16069.75
2014-06-03,462670,663,0.0,20.76875,16069.75
2014-06-04,482348,582,0.0,20.32631578947369,15904.052631578948
2014-06-05,501694,569,1.0138888888888888,19.324390243902442,12624.073170731708
2014-06-06,495170,743,0.7730769230769231,20.86666666666666,16070.454545454546
2014-06-07,504156,623,0.0,22.040625,16069.75
2014-06-08,434856,516,0.0,22.575,16069.75
2014-06-09,440162,528,2.0,19.270731707317072,12923.365853658535
2014-06-10,463614,569,1.5037037037037038,21.151020408163266,12751.244897959185
2014-06-11,477219,576,0.0,19.75,14928.4
2014-06-12,498857,563,0.0,19.09767441860464,13160.767441860466
2014-06-13,496516,708,0.5615384615384615,21.204081632653068,6989.285714285716
2014-06-14,487611,612,3.76969696969697,21.47906976744186,12303.697674418603
2014-06-15,414417,475,0.0,20.603125,16069.75
2014-06-16,423175,622,0.0,22.337499999999995,16069.75
2014-06-17,449368,666,0.0,22.800000000000008,16069.75
2014-06-18,472667,663,0.0,27.612500000000008,15856.40625
2014-06-19,487104,675,0.10689655172413792,23.921874999999996,16019.46875
2014-06-20,485548,765,0.10740740740740742,23.162500000000005,16069.75
2014-06-21,473409,557,0.0,21.440625,16069.75
2014-06-22,430757,477,0.0,20.4375,15868.59375
2014-06-23,413205,644,0.0,21.684375,16069.75
2014-06-24,441878,632,0.0,21.890624999999996,16069.75
2014-06-25,468089,646,0.0,22.706818181818186,12426.0
2014-06-26,486884,670,0.267741935483871,24.649999999999995,14385.309523809525
2014-06-27,474158,660,0.02,23.018918918918914,16072.891891891892
2014-06-28,472015,611,0.0,23.49375,16069.75
2014-06-29,402696,537,0.0,22.54375,16069.75
2014-06-30,409501,609,0.0,22.91875000000001,16069.75
