UNITID,PCTFLOAN,PCIP16,PPTUG_EF,UGDS_WHITE,UGDS_BLACK,UGDS_HISP,UGDS_ASIAN,SATMTMID,SATVRMID,SATWRMID,UGDS,DEBT_EARNINGS_RATIO,OPEID,OPEID6,HCM2,SATVR25,SATVR75,SATMT25,SATMT75,SATWR25,SATWR75,ACTCM25,ACTCM75,ACTEN25,ACTEN75,ACTMT25,ACTMT75,ACTWR25,ACTWR75,ACTCMMID,ACTENMID,ACTMTMID,ACTWRMID,SAT_AVG,SAT_AVG_ALL,PCIP01,PCIP03,PCIP04,PCIP05,PCIP09,PCIP10,PCIP11,PCIP12,PCIP13,PCIP14,PCIP15,PCIP19,PCIP22,PCIP23,PCIP24,PCIP25,PCIP26,PCIP27,PCIP29,PCIP30,PCIP31,PCIP38,PCIP39,PCIP40,PCIP41,PCIP42,PCIP43,PCIP44,PCIP45,PCIP46,PCIP47,PCIP48,PCIP49,PCIP50,PCIP51,PCIP52,PCIP54,UGDS_AIAN,UGDS_NHPI,UGDS_2MOR,UGDS_NRA,UGDS_UNKN,NPT4_PUB,NPT4_PRIV,NPT41_PUB,NPT42_PUB,NPT43_PUB,NPT44_PUB,NPT45_PUB,NPT41_PRIV,NPT42_PRIV,NPT43_PRIV,NPT44_PRIV,NPT45_PRIV,PCTPELL,RET_FT4,RET_FTL4,RET_PT4,RET_PTL4,UG25ABV
119553,0.7321,0.0,0.0544,0.4081,0.0871,0.1436,0.0794,,,,919.0,42,2542300,25423,0,,,,,,,,,,,,,,,,,,,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0111,0.0278,0.1522,0.0267,0.0189,,23602.0,,,,,,23112.0,23512.0,24368.0,26009.0,26714.0,0.6096,,0.875,,,0.6322
111762,0.1401,0.0,0.0,0.0217,0.0217,0.9457,0.0,,,,92.0,32,2332819,23328,0,,,,,,,,,,,,,,,,,,,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.3556,0.0,0.1556,0.0,0.0,0.4889,0.0,0.0,0.0,0.0104,0.0,0.0,0.0,,8540.0,,,,,,8323.0,8377.0,12382.0,,,0.3518,,0.8333,,,0.2727
193584,0.7789,0.0168,0.0405,0.7765,0.0664,0.0532,0.0306,,,,2125.0,71,277900,2779,0,,,,,,,,,,,,,,,,,,,,,0.0,0.0,0.0,0.0021,0.021,0.0,0.0126,0.0,0.0966,0.0,0.0,0.0,0.0021,0.0399,0.0,0.0,0.0483,0.0462,0.0,0.0,0.0,0.0126,0.0,0.0063,0.0,0.0861,0.0,0.0651,0.0483,0.0,0.0,0.0,0.0,0.1029,0.1975,0.1303,0.063,0.004,0.0,0.0193,0.0188,0.0838,,26603.0,,,,,,17367.0,30320.0,21562.0,27659.0,28792.0,0.3206,0.8345,,,,0.0693
198507,0.7466,0.0,0.0645,0.1643,0.728,0.0259,0.0024,440.0,430.0,395.0,1272.0,110,292600,2926,0,390.0,460.0,410.0,470.0,360.0,440.0,17.0,20.0,16.0,21.0,17.0,18.0,,,19.0,19.0,18.0,,866.0,866.0,0.0,0.0,0.0,0.0,0.0348,0.0,0.0246,0.0,0.12300000000000001,0.0,0.0184,0.0,0.0,0.043,0.0,0.0,0.0963,0.0164,0.0,0.0,0.0287,0.0,0.0,0.0307,0.0,0.043,0.0902,0.0328,0.0963,0.0,0.0,0.0,0.0594,0.0594,0.0,0.1885,0.0143,0.0034,0.0006,0.0091,0.0023,0.0834,2509.0,,1099.0,2265.0,4575.0,8194.0,7388.0,,,,,,0.7072,0.6832,,1.0,,0.1926
416670,0.6614,0.0,0.3939,0.303,0.6364,0.0303,0.0303,,,,33.0,44,2540000,25400,0,,,,,,,,,,,,,,,,,,,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,10705.0,,,,,,10459.0,11655.0,12324.0,13231.0,,0.8158,,0.7647,,0.5870000000000001,0.4667
447175,0.5723,0.0,0.1216,0.2027,0.4189,0.1757,0.0135,,,,74.0,61,2173207,21732,0,,,,,,,,,,,,,,,,,,,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0072,0.0,0.1377,0.0,0.0,,14146.0,,,,,,13679.0,13537.0,15917.0,18357.0,18357.0,0.7971,,0.5,,0.4444,0.4559
237321,0.958,0.0,0.0,0.9474,0.0351,0.0175,0.0,,,,57.0,61,895900,8959,0,,,,,,,,,,,,,,,,,,,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.8261,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.1739,0.0,0.0,0.0,0.0082,0.0082,0.0,0.0,,9515.0,,,,,,9092.0,10443.0,12235.0,,,0.8079999999999999,,0.7561,,,0.4571
195702,0.8981,0.0,0.6888,0.8878,0.0255,0.0153,0.0306,,,,196.0,30,646100,6461,0,,,,,,,,,,,,,,,,,,,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0048,0.0,0.0144,0.0383,0.0,,19792.0,,,,,,16592.0,,19384.0,23400.0,,0.5,,1.0,,,0.0769
220464,0.475,0.0,0.314,0.7907,0.1977,0.0,0.0116,,,,86.0,42,885900,8859,0,,,,,,,,,,,,,,,,,,,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0078,0.0,0.0,,10171.0,,,,,,8009.0,,10903.0,,16623.0,0.6435,,0.8095,,1.0,0.5164
184603,0.38299999999999995,0.001,0.3249,0.2339,0.1099,0.3719,0.0461,490.0,480.0,,3450.0,65,260700,2607,0,410.0,520.0,420.0,530.0,,,17.0,25.0,,,,,,,21.0,,,,944.0,993.0,0.0,0.0,0.0,0.0,0.0176,0.0,0.0099,0.0,0.0,0.0088,0.0198,0.0,0.0,0.0252,0.5214,0.0,0.0187,0.0022,0.0,0.034,0.0,0.0,0.0,0.0044,0.0,0.0724,0.0472,0.0,0.0066,0.0,0.0,0.0,0.0,0.0033,0.0999,0.0922,0.0165,0.0013,0.0023,0.0121,0.0752,0.1214,,17480.0,,,,,,14686.0,15613.0,18842.0,21408.0,23796.0,0.2759,0.6737,,0.3636,,0.2313
101736,0.2768,0.0,0.4763,0.7846,0.1212,0.0484,0.0033,,,,2994.0,56,569700,5697,0,,,,,,,,,,,,,,,,,,,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0275,0.0275,0.0,0.0,0.0336,0.0229,0.0,0.0,0.2645,0.0,0.0,0.0,0.0,0.052000000000000005,0.0,0.0,0.0,0.0,0.0,0.0,0.0092,0.0,0.0,0.0214,0.0887,0.0902,0.0,0.0,0.3119,0.0505,0.0,0.0088,0.0006,0.0012,0.0033,0.0324,6513.0,,5800.0,6583.0,8241.0,9632.0,10745.0,,,,,,0.5278,,0.5853,,0.4196,0.2605
204255,0.23199999999999998,0.0,0.5562,0.8433,0.0262,0.01,0.0031,,,,1602.0,41,813300,8133,0,,,,,,,,,,,,,,,,,,,,,0.0,0.0102,0.0,0.0,0.0,0.0,0.0285,0.0264,0.0183,0.0,0.1545,0.0061,0.0203,0.0,0.0732,0.0,0.0,0.0,0.0,0.0,0.0366,0.0,0.0,0.0,0.0,0.0,0.0935,0.1016,0.0,0.0,0.0,0.0081,0.0,0.0061,0.1992,0.2175,0.0,0.0029,0.0005,0.0218,0.0,0.2399,8909.0,,7815.0,8687.0,10205.0,12195.0,12634.0,,,,,,0.3645,,0.5531,,0.5245,0.3185
199458,0.7402,0.0,0.1865,0.6943,0.228,0.0363,0.0104,509.0,423.0,440.0,193.0,110,2280900,22809,0,430.0,510.0,400.0,510.0,390.0,530.0,18.0,27.0,16.0,24.0,16.0,25.0,6.0,8.0,23.0,20.0,21.0,7.0,983.0,983.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.7778,0.0,0.0,0.1111,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0556,0.0,0.0103,0.0,0.0103,0.0154,0.0103,,16303.0,,,,,,15083.0,15565.0,16931.0,19885.0,,0.7351,0.5758,,0.5,,0.3086
239743,0.5248,0.0,0.392,0.6278,0.1335,0.0824,0.0284,,,,352.0,78,385000,3850,0,,,,,,,14.0,20.0,12.0,20.0,15.0,19.0,5.0,7.0,17.0,16.0,17.0,6.0,820.0,820.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0364,0.0,0.1636,0.0,0.0,0.0,0.0,0.0545,0.0,0.0,0.0364,0.0364,0.0,0.0,0.0,0.0,0.0727,0.0,0.0,0.1636,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0364,0.0364,0.3636,0.0,0.0101,0.0,0.0304,0.0203,0.1216,,17543.0,,,,,,14522.0,15226.0,15584.0,22404.0,20034.0,0.2834,0.725,,,,0.5389
451820,0.6935,0.0,0.3248,0.3578,0.1844,0.3639,0.0147,,,,819.0,117,2117102,21171,0,,,,,,,,,,,,,,,,,,,,,0.0,0.0,0.0,0.0,0.0,0.1391,0.1541,0.218,0.0,0.0,0.0075,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.3872,0.0,0.094,0.0,0.0067,0.0093,0.0,0.0,0.111,,26005.0,,,,,,24051.0,25248.0,28738.0,30833.0,30833.0,0.5655,0.4551,,0.1875,,0.3355
144209,0.08199999999999999,0.0,0.3433,0.0903,0.2792,0.4883,0.0759,,,,7210.0,24,165200,1652,0,,,,,,,,,,,,,,,,,,,,,0.0008,0.0,0.0,0.0,0.0,0.0032,0.223,0.0,0.0024,0.0008,0.0097,0.028999999999999998,0.0,0.0,0.5684,0.0,0.0,0.0,0.0,0.0467,0.0,0.0,0.0,0.0024,0.0,0.0,0.0121,0.004,0.0,0.0,0.0,0.0,0.0,0.0105,0.0322,0.0548,0.0,0.0022,0.0009,0.0176,0.0035,0.0409,6071.0,,5611.0,6228.0,8626.0,10761.0,10999.0,,,,,,0.5357,,0.5244,,0.26,0.3133
116226,0.5707,0.0,0.6889,0.64,0.0133,0.1289,0.1333,,,,225.0,68,2520300,25203,0,,,,,,,,,,,,,,,,,,,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0049,0.0,0.0246,0.0296,0.0049,,,,,,,,,,,,,0.2407,,,0.8,,0.7119
176789,0.4351,0.0,0.3196,0.7887,0.1031,0.0155,0.0258,380.0,425.0,508.0,194.0,81,245000,2450,0,480.0,595.0,503.0,523.0,517.0,566.0,19.0,24.0,19.0,25.0,16.0,23.0,,,22.0,22.0,20.0,,1014.0,1014.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0492,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0328,0.0,0.0,0.7377,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0984,0.0,0.08199999999999999,0.0,0.0133,0.0,0.0222,0.0044,0.0,,12049.0,,,,,,12205.0,11266.0,12607.0,,11086.0,0.5339,0.5405,,0.5,,0.3051
127778,0.2348,0.0,0.3737,0.5486,0.064,0.28,0.0057,,,,875.0,28,136200,1362,0,,,,,,,,,,,,,,,,,,,,,0.1305,0.0,0.0,0.0,0.0,0.0,0.002,0.0482,0.0462,0.0,0.006,0.0,0.0,0.0,0.2309,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0602,0.0,0.0,0.0,0.1526,0.0,0.0,0.0,0.2851,0.0382,0.0,0.0135,0.0052,0.0343,0.0551,0.0385,10394.0,,9335.0,8981.0,11725.0,14060.0,15437.0,,,,,,0.4596,,0.5166,,0.4737,0.3188
199643,0.9245,0.0,0.0625,0.0105,0.6552,0.0029,0.0018,,,,1711.0,160,296200,2962,0,,,,,,,,,,,,,,,,,,,,,0.0,0.0,0.0,0.0,0.0767,0.0,0.0523,0.0,0.0209,0.0,0.0,0.0,0.0,0.006999999999999999,0.006999999999999999,0.0,0.0453,0.0,0.0,0.0,0.0662,0.0557,0.0,0.0,0.0,0.0662,0.0801,0.1463,0.0941,0.0,0.0,0.0,0.0,0.0139,0.0453,0.223,0.0,0.0024,0.0036,0.0054,0.0217,0.2444,,24385.0,,,,,,23549.0,24609.0,27660.0,28608.0,29344.0,0.7929999999999999,0.4213,,0.0,,0.2501
137476,0.1235,0.0,0.0489,0.0954,0.2026,0.4625,0.0024,475.0,470.0,455.0,839.0,58,146800,1468,0,410.0,520.0,400.0,520.0,400.0,490.0,17.0,21.0,15.0,23.0,16.0,21.0,,,19.0,19.0,19.0,,919.0,919.0,0.0,0.0,0.0,0.0,0.0559,0.0,0.013999999999999999,0.0,0.042,0.0,0.0,0.0,0.0,0.021,0.0105,0.0,0.0664,0.021,0.0,0.0,0.0,0.0,0.021,0.0105,0.0,0.0909,0.1888,0.0,0.021,0.0,0.0,0.0,0.0,0.0,0.0175,0.4056,0.013999999999999999,0.0011,0.0011,0.0107,0.1751,0.0365,,21620.0,,,,,,20817.0,21836.0,22835.0,25227.0,21598.0,0.5082,0.7216,,0.0,,0.2
23693902,,,,,,,,,,,,50,380001,3800,0,,,,,,,,,,,,,,,,,,,,1030.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
172495,0.4497,0.0,0.2048,0.7711,0.0763,0.0843,0.0161,,,,249.0,67,3075200,30752,0,,,,,,,,,,,,,,,,,,,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0156,0.0039,0.0156,0.0,0.0,,13529.0,,,,,,12543.0,14272.0,14658.0,15096.0,15096.0,0.7808,,0.5254,,0.5,0.2072
228705,0.5329,0.0031,0.1285,0.1719,0.066,0.7085,0.008,485.0,470.0,,5845.0,58,363900,3639,0,410.0,500.0,430.0,530.0,,,17.0,21.0,14.0,20.0,16.0,22.0,,,19.0,17.0,19.0,,922.0,922.0,0.0329,0.0132,0.0,0.0,0.0258,0.0,0.0033,0.0,0.0,0.0784,0.0181,0.0093,0.0,0.0186,0.0,0.0,0.0488,0.0077,0.0,0.2708,0.0444,0.0,0.0,0.0126,0.0,0.0609,0.0,0.0115,0.0921,0.0,0.0,0.0,0.0,0.017,0.0905,0.1217,0.0192,0.0024,0.0011,0.0066,0.0237,0.0084,11924.0,,9157.0,10981.0,14328.0,18127.0,18705.0,,,,,,0.5027,0.6357,,0.4074,,0.3335
191676,0.8127,0.0042,0.0376,0.7338,0.0328,0.0106,0.027999999999999997,547.0,555.0,,1037.0,77,273400,2734,0,490.0,640.0,490.0,620.0,480.0,610.0,22.0,27.0,21.0,28.0,21.0,29.0,,,25.0,25.0,25.0,,1121.0,1121.0,0.0127,0.0,0.0,0.0698,0.0603,0.0,0.0063,0.0,0.1524,0.0,0.0,0.0,0.0,0.0444,0.0254,0.0,0.0571,0.0127,0.0,0.0127,0.0254,0.0095,0.0349,0.0476,0.0,0.073,0.0,0.0,0.0254,0.0,0.0,0.0,0.0,0.0825,0.0,0.2317,0.0127,0.002,0.0,0.0406,0.0851,0.0228,,21634.0,,,,,,16869.0,17442.0,20257.0,23957.0,27103.0,0.4107,0.8655,,,,0.0981
182306,0.0845,0.0012,0.591,0.6314,0.0217,0.2052,0.0148,,,,2032.0,38,697700,6977,0,,,,,,,,,,,,,,,,,,,,,0.0085,0.0043,0.0,0.0,0.0,0.0,0.0171,0.0,0.0455,0.0,0.138,0.0,0.0,0.0,0.111,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0597,0.0,0.0071,0.0085,0.0085,0.0555,0.07400000000000001,0.0612,0.0,0.0,0.2603,0.1394,0.0,0.0406,0.0081,0.0239,0.0019,0.0458,9777.0,,8710.0,10132.0,12867.0,13681.0,14288.0,,,,,,0.2181,0.6471,,0.2308,,0.4143
15116608,,,,,,,,,,,,107,2158412,21584,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
140942,0.0,0.0,0.6361,0.4055,0.4514,0.0684,0.0228,,,,3509.0,16,561800,5618,0,,,,,,,,,,,,,,,,,,,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0334,0.0772,0.0113,0.0,0.026000000000000002,0.0217,0.0026,0.0134,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0668,0.0,0.0,0.0252,0.1597,0.0625,0.0755,0.0,0.305,0.1197,0.0,0.0043,0.0012,0.0232,0.005,0.0028,4786.0,,4101.0,4908.0,6987.0,8412.0,10373.0,,,,,,0.6624,,0.5773,,0.4442,0.527
201982,0.575,0.0,0.0,0.8696,0.1304,0.0,0.0,,,,46.0,47,2145100,21451,0,,,,,,,,,,,,,,,,,,,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0519,0.0,0.0,,6513.0,,,,,,5188.0,6195.0,9090.0,10244.0,8572.0,0.5276,,0.5957,,,0.1111
213543,0.4138,0.0073,0.013999999999999999,0.6499,0.0368,0.0873,0.0844,690.0,635.0,,5061.0,36,328900,3289,0,590.0,670.0,640.0,740.0,,,28.0,32.0,,,,,,,30.0,,,,1326.0,1326.0,0.0,0.0034,0.0282,0.0026,0.0162,0.0,0.0631,0.0,0.0,0.3174,0.0,0.0,0.0,0.0205,0.0,0.0,0.0759,0.0111,0.0,0.0529,0.0,0.0026,0.0,0.0427,0.0,0.035,0.0,0.0,0.0495,0.0,0.0,0.0,0.0,0.0179,0.0,0.2509,0.0085,0.001,0.0,0.0254,0.0747,0.025,,31267.0,,,,,,15155.0,16584.0,22040.0,28417.0,43618.0,0.1476,0.9558,,,,0.0057
