key-for-ranking,PCTFLOAN,PCIP16,PPTUG_EF,UGDS_WHITE,UGDS_BLACK,UGDS_HISP,UGDS_ASIAN,SATMTMID,SATVRMID,SATWRMID,UGDS,DEBT_EARNINGS_RATIO
144209,0.08199999999999999,0.0,0.3433,0.0903,0.2792,0.4883,0.0759,,,,7210.0,24
116226,0.5707,0.0,0.6889,0.64,0.0133,0.1289,0.1333,,,,225.0,68
176789,0.4351,0.0,0.3196,0.7887,0.1031,0.0155,0.0258,380.0,425.0,508.0,194.0,81
127778,0.2348,0.0,0.3737,0.5486,0.064,0.28,0.0057,,,,875.0,28
199643,0.9245,0.0,0.0625,0.0105,0.6552,0.0029,0.0018,,,,1711.0,160
137476,0.1235,0.0,0.0489,0.0954,0.2026,0.4625,0.0024,475.0,470.0,455.0,839.0,58
23693902,,,,,,,,,,,,50
172495,0.4497,0.0,0.2048,0.7711,0.0763,0.0843,0.0161,,,,249.0,67
228705,0.5329,0.0031,0.1285,0.1719,0.066,0.7085,0.008,485.0,470.0,,5845.0,58
191676,0.8127,0.0042,0.0376,0.7338,0.0328,0.0106,0.027999999999999997,547.0,555.0,,1037.0,77
182306,0.0845,0.0012,0.591,0.6314,0.0217,0.2052,0.0148,,,,2032.0,38
15116608,,,,,,,,,,,,107
140942,0.0,0.0,0.6361,0.4055,0.4514,0.0684,0.0228,,,,3509.0,16
201982,0.575,0.0,0.0,0.8696,0.1304,0.0,0.0,,,,46.0,47
213543,0.4138,0.0073,0.013999999999999999,0.6499,0.0368,0.0873,0.0844,690.0,635.0,,5061.0,36
407683,0.5192,0.0,0.4762,0.0095,0.0,0.9714,0.0,,,,105.0,36
101541,0.5642,0.0,0.263,0.7064,0.1896,0.0122,0.0214,531.0,581.0,,327.0,98
104434,0.7377,0.0,0.0,0.3714,0.0,0.2,0.0,,,,35.0,71
448673,0.8358,0.0,0.5074,0.4952,0.263,0.0199,0.0263,,,,1559.0,66
239105,0.4605,0.0072,0.0166,0.7151,0.0386,0.1082,0.0625,580.0,575.0,575.0,8053.0,53
176619,,,,,,,,,,,,80
213570,0.8405,0.0,0.0,0.4736,0.13,0.3392,0.0044,,,,454.0,44
154493,0.6287,0.0,0.4237,0.6561,0.1969,0.0578,0.0148,435.0,435.0,435.0,3859.0,60
114354,0.5547,0.0,0.1048,0.3434,0.0568,0.2066,0.1059,,,,2624.0,42
139700,0.3143,0.0,0.5212,0.6385,0.1776,0.1233,0.0144,,,,5635.0,30
148177,0.7701,0.0,0.3495,0.2454,0.4155,0.2103,0.0278,,,,970.0,114
484349,0.4949,0.0,0.0,0.6106,0.2566,0.0619,0.0,,,,113.0,37
455141,0.5108,0.0,0.0,0.6083,0.2042,0.0542,0.0208,,,,240.0,54
414869,0.7104,0.0,0.6471,0.4314,0.451,0.0327,0.0065,,,,153.0,33
115126,0.0205,0.0127,0.6639,0.3059,0.0198,0.3267,0.2608,,,,10987.0,25
110644,0.3683,0.0204,0.0277,0.267,0.0227,0.20199999999999999,0.3018,620.0,570.0,590.0,29358.0,35
475060,0.8929,0.0,0.3603,0.0705,0.8982,0.0104,0.0,,,,383.0,115
171304,0.1407,0.0,0.6277,0.7722,0.0851,0.0395,0.0084,,,,3441.0,32
177588,0.5098,0.0,0.0,0.0556,0.8889,0.0556,0.0,,,,18.0,81
198190,0.45,0.0,0.2833,0.4333,0.45,0.1,0.0,,,,60.0,38
243744,0.1031,0.0218,0.0,0.3619,0.0639,0.1588,0.2068,750.0,730.0,735.0,7032.0,16
452115,0.855,0.0,0.2732,0.1244,0.7415,0.0268,0.0024,,,,410.0,85
105589,0.5614,0.0,0.2464,0.7049,0.0143,0.0716,0.0115,510.0,550.0,505.0,349.0,77
193353,0.7242,0.0062,0.17,0.6349,0.0755,0.1648,0.0247,490.0,490.0,,2106.0,66
363907,0.4415,0.0,0.2929,0.0,0.0,1.0,0.0,,,,792.0,60
449685,0.7682,0.0,0.0,0.0448,0.3657,0.5522,0.0075,,,,134.0,33
211802,0.6172,0.0,0.0,0.9561,0.0049,0.0098,0.0146,,,,205.0,26
185466,0.5509,0.0,0.3603,0.6835,0.1279,0.1111,0.0404,,,,297.0,23
450535,0.7063,0.0,0.6889,0.4519,0.4519,0.0667,0.0,,,,135.0,101
20627901,,,,,,,,,,,,37
219453,0.5122,0.0,0.0,0.9135,0.0192,0.0192,0.0096,,,,104.0,33
170055,0.2752,0.0,0.6765,0.6789,0.0886,0.1229,0.0428,,,,13244.0,34
436827,0.47,0.0113,0.0822,0.701,0.0463,0.0942,0.0703,515.0,500.0,510.0,669.0,46
211352,0.7438,0.0033,0.0617,0.5902,0.1954,0.0977,0.019,480.0,485.0,,1474.0,74
135188,0.0457,0.0,0.6614,0.6689,0.0962,0.0607,0.0368,,,,3639.0,32
215105,0.8078,0.0,0.0154,0.6119,0.1471,0.0939,0.0272,495.0,530.0,515.0,1693.0,114
181297,0.7416,0.0,0.4287,0.861,0.0436,0.0436,0.0153,,,,849.0,50
458186,0.7618,0.0,0.0,0.064,0.0814,0.75,0.0523,,,,172.0,31
442790,0.6425,0.0,0.1667,0.1146,0.4688,0.3229,0.0208,,,,96.0,42
127617,0.1111,0.0,0.6182,0.5742,0.0558,0.2643,0.0103,,,,681.0,34
148399,0.8129,0.0,0.5067,0.604,0.2198,0.1393,0.0101,,,,596.0,58
166452,0.6715,0.0,0.2152,0.6393,0.0681,0.1235,0.043,515.0,545.0,540.0,1952.0,72
187046,0.1233,0.0,0.9957,0.5131,0.1451,0.0985,0.0395,,,,11292.0,24
151786,0.6966,0.0036,0.1278,0.7291,0.1223,0.048,0.0178,515.0,505.0,,2019.0,70
222877,0.7128,0.0,0.1444,0.6111,0.2444,0.1056,0.0056,,,,180.0,109
165264,0.8418,0.0,0.9547,0.4973,0.3293,0.096,0.0227,,,,750.0,42
154165,0.56,0.0,0.0,0.9123,0.0175,0.0175,0.0175,,,,57.0,73
215770,0.4924,0.0042,0.1185,0.7859,0.0639,0.0618,0.0252,575.0,565.0,,5274.0,49
261685,0.5842,0.0,0.0,0.5978,0.2826,0.0326,0.0217,,,,92.0,42
182500,0.0857,0.0004,0.6861,0.5471,0.0255,0.2947,0.059000000000000004,,,,8241.0,35
131876,0.7676,0.0,0.3027,0.0137,0.6563,0.1973,0.0111,,,,1536.0,96
451741,0.2414,0.0,0.1818,0.0,0.0,1.0,0.0,,,,385.0,23
469151,0.5921,0.0,0.5304,0.5478,0.0348,0.2609,0.0,,,,115.0,38
160074,0.8334,0.0,0.5819,0.5975,0.1811,0.1029,0.0305,,,,1215.0,52
190628,0.0446,0.0035,0.3487,0.1005,0.1803,0.4596,0.16,,,,16157.0,22
177418,0.6923,0.0,0.1397,0.7132,0.1439,0.0221,0.0137,,,,952.0,76
153214,0.2598,0.0033,0.5048,0.7253,0.0737,0.0821,0.0404,,,,12818.0,34
441636,0.6837,0.0,0.2813,0.2292,0.638,0.0234,0.026000000000000002,,,,384.0,101
482149,0.5316,0.0137,0.1609,0.5393,0.243,0.0601,0.0638,520.0,520.0,,4860.0,32
245962,0.875,0.0,0.0,0.4085,0.2845,0.0648,0.0056,,,,355.0,43
213011,0.6436,0.0016,0.3537,0.7286,0.14800000000000002,0.0603,0.0171,475.0,495.0,490.0,1459.0,59
456515,0.5956,0.0,0.0,0.6978,0.1868,0.044000000000000004,0.0055,,,,182.0,50
172264,0.6409,0.047,0.4207,0.6059,0.1153,0.0568,0.0096,,,,2289.0,44
455220,0.6892,0.0,0.0,0.55,0.3,0.15,0.0,,,,40.0,49
154642,0.1667,0.0,0.5872,0.8163,0.0471,0.0782,0.0126,,,,2379.0,27
218043,0.9292,0.0,0.2925,0.5943,0.3302,0.0283,0.0,,,,106.0,90
192323,0.6764,0.0032,0.0938,0.7898,0.0584,0.0541,0.0243,560.0,545.0,,2793.0,63
416801,0.3882,0.0,0.1888,0.2507,0.1121,0.2832,0.2271,,,,339.0,19
109934,0.6327,0.0,0.0,0.1005,0.1709,0.5427,0.0854,,,,199.0,72
119605,0.3538,0.0082,0.6233,0.3717,0.1026,0.2765,0.1004,,,,7982.0,58
434539,0.8406,0.0,0.2782,0.0564,0.3158,0.5827,0.0038,,,,266.0,121
449083,1.0,0.0,0.0,0.0067,0.01,0.97,0.0,,,,300.0,41
126669,0.3978,0.0,0.6308,0.6404,0.1294,0.1384,0.013000000000000001,,,,4697.0,76
210748,0.6,0.0,0.4444,0.9333,0.0222,0.0222,0.0,,,,45.0,27
224004,0.6084,0.0,0.2619,0.4282,0.1218,0.3076,0.0303,495.0,485.0,470.0,1749.0,70
137078,0.3221,0.0,0.7276,0.6267,0.1429,0.1338,0.0356,,,,25611.0,55
482060,0.7276,0.0,0.0,0.2335,0.0719,0.5988,0.0269,,,,334.0,55
467906,0.6255,0.0,0.2438,0.7688,0.1938,0.0188,0.0,,,,160.0,56
122977,0.0131,0.0002,0.6063,0.2602,0.0872,0.3906,0.0955,,,,28154.0,28
10722002,,,,,,,,,,,,44
203775,0.7425,0.0025,0.0757,0.8029,0.1221,0.0277,0.0081,465.0,480.0,,1228.0,72
218159,0.6184,0.0,0.3709,0.6093,0.3245,0.0265,0.0,,,,151.0,67
130004,0.0101,0.0,0.6044,0.2932,0.1903,0.3952,0.0407,,,,4598.0,15
241739,0.5523,0.0,0.2114,0.0,0.0,1.0,0.0,,,,11231.0,57
233301,0.6905,0.0448,0.0077,0.6949,0.1279,0.0555,0.0169,505.0,520.0,495.0,649.0,90
162681,0.6438,0.0,0.772,0.6571,0.1472,0.0449,0.0,,,,557.0,114
105428,0.1982,0.016,0.698,0.223,0.0995,0.5113,0.027999999999999997,,,,9423.0,36
137564,0.5868,0.0,0.0815,0.59,0.1549,0.1925,0.0127,475.0,490.0,470.0,4171.0,75
114415,0.6087,0.0,0.0388,0.3786,0.0291,0.3204,0.0874,,,,103.0,42
238014,0.231,0.0,0.3639,0.8971,0.038,0.0157,0.0037,,,,1341.0,35
44903811,,,,,,,,,,,,103
134112,0.7399,0.0,0.0,0.1523,0.2222,0.5773,0.0067,,,,4753.0,61
110529,0.3604,0.0033,0.1058,0.1789,0.0331,0.4174,0.2299,530.0,500.0,,23611.0,46
137801,0.4763,0.0,0.8066,0.3093,0.4191,0.1166,0.0068,,,,1329.0,115
482459,0.695,0.0,0.578,0.3396,0.235,0.3163,0.0145,,,,898.0,110
170790,0.0717,0.0,0.6882,0.6869,0.1185,0.026000000000000002,0.0429,,,,16543.0,19
138558,0.4315,0.0,0.2301,0.8005,0.095,0.0631,0.0077,465.0,469.0,,3233.0,56
247603,0.2295,0.0,0.4057,0.8357,0.0147,0.096,0.0117,,,,2386.0,36
24893405,,,,,,,,,,,,69
36520405,,,,,,,,,,,,70
100830,0.5565,0.0033,0.2592,0.5126,0.3627,0.0141,0.0247,470.0,465.0,,4171.0,78
228343,0.5386,0.0229,0.0148,0.6184,0.0559,0.2133,0.0384,575.0,590.0,,1486.0,70
127556,0.5259,0.0046,0.1697,0.6853,0.0248,0.1847,0.0163,493.0,488.0,,8734.0,72
226091,0.4853,0.0128,0.3204,0.4782,0.2703,0.153,0.0462,480.0,475.0,,9065.0,66
109208,0.039,0.021,0.7741,0.4227,0.0799,0.2273,0.1072,,,,27680.0,56
139366,0.5776,0.0032,0.2751,0.4993,0.377,0.0607,0.0236,485.0,490.0,470.0,6557.0,90
135142,0.6743,0.0,0.8899,0.0,0.0,1.0,0.0,,,,218.0,59
133979,0.747,0.0,0.0383,0.0086,0.7234,0.0594,0.0,,,,1280.0,186
160038,0.4797,0.0,0.3089,0.5357,0.3122,0.0588,0.0068,505.0,485.0,,7498.0,70
373526,0.616,0.0,0.0,0.2072,0.7523,0.0225,0.0,,,,222.0,20
440989,0.5705,0.0,0.0,0.0317,0.7290000000000001,0.2345,0.0032,,,,631.0,64
436775,0.6522,0.0,0.0046,0.6239,0.055,0.2523,0.0413,,,,218.0,69
146700,0.799,0.0,0.0,0.1206,0.2529,0.5662,0.0265,,,,680.0,44
150251,0.7074,0.0,0.6591,0.7273,0.10800000000000001,0.1023,0.0227,,,,176.0,89
478953,0.536,0.0,0.0,0.6907,0.1031,0.067,0.0052,,,,194.0,47
233116,0.1004,0.0,0.6922,0.6616,0.1557,0.0727,0.035,,,,3372.0,29
219046,0.4813,0.0063,0.2217,0.8159,0.0134,0.0542,0.0072,485.0,505.0,477.0,2770.0,85
367459,0.2106,0.0,0.5828,0.6447,0.0254,0.1787,0.0339,,,,5908.0,39
125091,0.0,0.0,0.6043,0.2804,0.1048,0.5287,0.0253,,,,9825.0,26
156620,0.5513,0.0131,0.1619,0.8487,0.059000000000000004,0.0275,0.0067,515.0,520.0,483.0,13127.0,78
45897307,,,,,,,,,,,,103
155715,0.2691,0.0,0.096,0.6189,0.1006,0.1387,0.0015,,,,656.0,22
190673,0.0616,0.0,0.3325,0.1322,0.2288,0.3267,0.2335,,,,13596.0,24
451662,0.6506,0.0,0.6416,0.5927,0.1984,0.1287,0.0129,,,,4662.0,131
413413,0.8964,0.0,0.8352,0.4554,0.2072,0.078,0.0161,,,,9385.0,63
139393,0.499,0.0169,0.0082,0.8624,0.0275,0.0336,0.0143,570.0,605.0,580.0,981.0,68
106397,0.3905,0.01,0.1114,0.7652,0.0479,0.0818,0.0244,565.0,550.0,,22254.0,58
224226,0.6036,0.0,0.2364,0.6018,0.1383,0.1644,0.0196,550.0,560.0,,3109.0,56
224891,0.0946,0.0,0.1496,0.5152,0.0549,0.3693,0.0019,,,,528.0,24
443650,0.8390000000000001,0.0,0.2746,0.623,0.2725,0.0246,0.002,,,,488.0,136
167729,0.6276,0.0054,0.1693,0.6505,0.0971,0.1415,0.0346,495.0,495.0,,7016.0,67
484729,0.55,0.0,0.0,0.0551,0.2458,0.0424,0.0,,,,236.0,113
40884402,,,,,,,,,,,,107
404426,0.1573,0.0088,0.5794,0.5483,0.0146,0.1835,0.0097,,,,2670.0,44
190293,0.7073,0.0,0.1268,0.1831,0.6761,0.0704,0.0141,,,,71.0,53
148131,0.7342,0.0151,0.0426,0.7179,0.1138,0.0352,0.0148,530.0,505.0,,1081.0,67
417992,0.9221,0.0,0.5,0.5595,0.1905,0.1905,0.0,,,,84.0,29
451671,0.4079,0.0,0.4417,0.7164,0.0536,0.1385,0.0257,535.0,570.0,540.0,1791.0,51
13830901,,,,,,,,,,,,66
450599,0.7203,0.0,0.0,0.2706,0.6118,0.0471,0.0118,,,,85.0,71
149772,0.698,0.0037,0.1242,0.6011,0.2078,0.1162,0.0087,,,,8543.0,71
204945,0.3698,0.0,0.6109,0.7136,0.1359,0.0843,0.0117,,,,6836.0,60
213622,0.8632,0.0,0.2676,0.9014,0.0282,0.0,0.0,,510.0,505.0,71.0,28
442073,0.8193,0.0,0.3451,0.2018,0.3327,0.3805,0.0442,,,,565.0,45
484765,0.2671,0.0,0.0,0.1091,0.1472,0.0584,0.0051,,,,394.0,113
476355,0.3506,0.0,0.0,0.4167,0.0208,0.0729,0.0833,,,,96.0,31
248624,0.5588,0.0,0.0,0.9623,0.0377,0.0,0.0,,,,53.0,35
192712,0.6683,0.0,0.0022,0.2451,0.0656,0.0525,0.2932,,,,457.0,153
208123,0.7083,0.0,0.0,0.6818,0.0,0.0909,0.0,,,,22.0,43
114266,0.0094,0.0141,0.6751,0.0707,0.0256,0.4137,0.3834,,,,7464.0,38
199999,0.7153,0.0027,0.1199,0.1394,0.7415,0.0329,0.0067,435.0,435.0,405.0,4654.0,90
238263,0.2789,0.0,0.6359,0.7086,0.0667,0.0962,0.0488,,,,11316.0,40
430421,0.5819,0.0,0.0,0.3,0.65,0.0,0.0,,,,20.0,44
200846,0.3302,0.0,0.3856,0.8606,0.049,0.0269,0.0106,,,,1040.0,81
421832,0.7928,0.0,0.0,0.3134,0.5634,0.0775,0.006999999999999999,,,,284.0,59
17355902,,,,,,,,,,,,34
246354,0.0423,0.0107,0.7695,0.1658,0.0302,0.7745,0.0068,,,,6580.0,28
460826,0.8946,0.0,0.4421,0.1324,0.8109,0.0071,0.0095,,,,423.0,136
163426,0.1274,0.0014,0.6162,0.2464,0.2673,0.2408,0.1151,,,,19460.0,33
102049,0.3277,0.0142,0.0361,0.8309,0.0692,0.0391,0.0114,559.0,570.0,555.0,3324.0,55
419183,0.8892,0.0,0.0,0.4657,0.003,0.4627,0.0209,,,,335.0,17
425250,0.8444,0.0,0.6348,0.3478,0.5043,0.1217,0.0174,,,,115.0,61
129932,0.9366,0.0,0.314,0.4855,0.2006,0.2878,0.0029,,,,344.0,19
132471,0.6205,0.0,0.1653,0.1939,0.2947,0.3057,0.0084,460.0,470.0,,3461.0,71
173984,0.75,0.0,0.7613,0.7791,0.1006,0.0424,0.0611,,,,1014.0,101
383950,0.5761,0.0,0.0319,0.2074,0.7713,0.0053,0.0053,,,,188.0,96
240462,0.583,0.0021,0.1026,0.8998,0.012,0.0374,0.0141,,,,7745.0,62
17557302,,,,,,,,,,,,22
233329,0.6404,0.0,0.0,0.1946,0.7517,0.0201,0.0067,,,,298.0,45
219347,0.4721,0.0,0.1479,0.8372,0.0161,0.0506,0.0115,605.0,560.0,,2353.0,51
228149,0.623,0.0102,0.0401,0.1422,0.0326,0.6803,0.0207,525.0,515.0,,2271.0,75
203614,0.6458,0.0,0.0745,0.9865,0.0135,0.0,0.0,,,,443.0,38
155830,0.2405,0.0,0.247,0.8566,0.0159,0.0717,0.004,,,,251.0,20
207324,0.5365,0.0053,0.0482,0.7345,0.0792,0.061,0.0332,535.0,545.0,535.0,1868.0,78
167260,0.7656,0.0,0.0772,0.7994,0.07400000000000001,0.0677,0.0119,,,,1256.0,70
242820,0.1827,0.0,0.0,0.0,0.0,1.0,0.0,,,,1231.0,20
412544,0.5283,0.0,0.3203,0.7344,0.1172,0.0781,0.0547,,,,128.0,34
442435,0.493,0.0,0.0,0.1857,0.1571,0.5714,0.0857,,,,70.0,43
200280,0.493,0.0082,0.1709,0.8119,0.0244,0.0342,0.0174,545.0,530.0,,10598.0,59
249566,0.8071,0.0,0.0,0.7605,0.2269,0.0126,0.0,,,,238.0,14
186201,0.5492,0.0318,0.0882,0.6421,0.0522,0.1423,0.0725,545.0,535.0,,5445.0,54
199865,0.5803,0.0,0.0077,0.7377,0.054000000000000006,0.0895,0.0093,,,,648.0,111
210155,0.2399,0.0,0.3489,0.7277,0.0149,0.0981,0.0136,,,,1539.0,51
133881,0.3656,0.0,0.0404,0.4428,0.0608,0.07400000000000001,0.024,605.0,555.0,,3419.0,71
480347,0.6607,0.0,0.0,0.6061,0.0455,0.2879,0.0303,,,,66.0,70
407009,0.5488,0.0011,0.1571,0.4736,0.0578,0.3112,0.0531,530.0,534.0,,3201.0,52
445115,0.7856,0.0,0.0,0.2833,0.2125,0.0292,0.0917,,,,240.0,82
387925,0.8401,0.0,0.0,0.3383,0.2637,0.3383,0.01,,,,201.0,38
451750,0.871,0.0,0.5757,0.5843,0.2614,0.0614,0.0357,,,,700.0,109
447731,0.3304,0.0,0.19699999999999998,0.0985,0.1591,0.3106,0.3258,,,,132.0,23
217059,0.6858,0.001,0.0741,0.8168,0.0474,0.0597,0.0197,525.0,515.0,500.0,4154.0,69
484321,0.659,0.0,0.3158,0.4474,0.3289,0.1842,0.0,,,,76.0,45
45316306,,,,,,,,,,,,103
437635,0.6356,0.0,0.0,0.1677,0.1013,0.5253,0.0063,,,,316.0,38
157614,0.6459999999999999,0.0,0.2745,0.5784,0.2059,0.0,0.0098,,,,102.0,71
368443,0.5291,0.0,0.3372,0.4707,0.40399999999999997,0.0515,0.0035,,,,854.0,94
130174,0.8276,0.0,0.3211,0.4673,0.18,0.2599,0.0124,,,,1928.0,39
147767,0.268,0.0115,0.0367,0.4844,0.059000000000000004,0.1248,0.1711,755.0,725.0,725.0,8563.0,30
240718,0.6293,0.0,0.0,0.7259,0.0174,0.1622,0.0116,,,,518.0,26
215682,0.5227,0.0,0.0,0.8762,0.0965,0.0074,0.0173,,,,404.0,39
456825,0.615,0.0,0.3311,0.5629,0.245,0.0,0.0066,,,,151.0,85
232672,0.7195,0.0037,0.3116,0.5489,0.2357,0.071,0.0212,470.0,500.0,495.0,1226.0,86
233718,0.462,0.043,0.0125,0.7094,0.1,0.1,0.0188,490.0,540.0,545.0,320.0,83
203739,0.9508,0.0,0.3594,0.6636,0.2258,0.0415,0.0,,,,217.0,69
458593,0.9243,0.0,0.322,0.048,0.8249,0.0254,0.0056,,,,354.0,85
196112,0.5327,0.0,0.1089,0.7753,0.0545,0.0767,0.0487,595.0,565.0,,1891.0,37
134495,0.4898,0.0,0.546,0.3477,0.1827,0.2963,0.0275,,,,23216.0,37
173452,0.5187,0.0,0.0843,0.9361,0.0166,0.0115,0.0089,615.0,615.0,,783.0,83
213400,0.6531,0.0,0.3981,0.6107,0.2118,0.0256,0.0088,495.0,515.0,,1369.0,64
152318,0.519,0.0,0.0069,0.7123,0.0233,0.0425,0.0448,700.0,615.0,605.0,2186.0,38
151962,0.3289,0.0,0.0,0.8462,0.1026,0.0256,0.0,,,,78.0,40
118198,0.5351,0.0,0.0,0.4699,0.0852,0.2356,0.1028,,,,798.0,38
110334,0.0227,0.0265,0.6136,0.45299999999999996,0.0102,0.4233,0.0369,,,,10668.0,43
209083,0.6143,0.0,0.0,0.593,0.0581,0.1512,0.0814,,,,86.0,73
145433,0.5268,0.0,0.573,0.6742,0.0449,0.2584,0.0,,,,89.0,59
417549,0.7957,0.0,0.0,0.0375,0.9375,0.025,0.0,,,,160.0,71
186645,0.0846,0.0,0.5308,0.4945,0.1185,0.2138,0.0535,,,,7005.0,28
448576,0.8009999999999999,0.0,0.4655,0.2082,0.1291,0.5364,0.0291,,,,1100.0,101
109785,0.6211,0.0029,0.0886,0.414,0.0485,0.3101,0.0924,510.0,505.0,,5770.0,55
214041,0.6448,0.0123,0.1394,0.7567,0.0868,0.08800000000000001,0.0271,515.0,515.0,480.0,6867.0,72
449861,0.9329,0.0,0.0,0.6228,0.2395,0.0898,0.006,,,,167.0,38
221838,0.684,0.0,0.1719,0.1243,0.715,0.013999999999999999,0.0071,,,,6878.0,97
101073,0.883,0.0,0.1029,0.0441,0.9265,0.0029,0.0,,,,340.0,175
448822,0.6667,0.0,0.0,0.0,0.0,0.0,0.0,,,,2.0,113
243568,0.3775,0.0,0.1709,0.0,0.0,0.8165,0.0,,,,158.0,18
414063,0.3257,0.0,0.1818,0.7603,0.0413,0.1074,0.0496,,,,121.0,24
453464,0.61,0.0,0.7059,0.5392,0.4118,0.0196,0.0,,,,102.0,137
420307,0.909,0.0,0.3227,0.1238,0.3655,0.0136,0.0037,,,,1915.0,85
180948,0.5292,0.0,0.1618,0.7582,0.0402,0.0844,0.0064,,,,2039.0,57
178110,0.7717,0.0,0.2429,0.8429,0.1571,0.0,0.0,,,,70.0,62
149532,0.0487,0.0,0.6816,0.2935,0.1525,0.4077,0.0252,,,,9759.0,31
441362,0.391,0.0,0.2413,0.1923,0.5559,0.1469,0.0105,,,,286.0,39
11163801,,,,,,,,,,,,47
405012,0.6575,0.0,0.0,0.8916,0.0723,0.0241,0.0,,,,83.0,42
238078,0.6721,0.0,0.1496,0.7492,0.0764,0.0301,0.0086,495.0,480.0,475.0,929.0,70
230603,0.3306,0.0069,0.1184,0.7636,0.0216,0.0623,0.0102,505.0,515.0,505.0,6353.0,36
158723,0.6124,0.0,0.0,0.5217,0.3841,0.0435,0.0,,,,138.0,87
236452,0.4714,0.0,0.1331,0.5448,0.0603,0.154,0.0619,515.0,508.0,495.0,1195.0,62
455460,0.8102,0.0,0.0,0.4619,0.4873,0.0203,0.0102,,,,197.0,54
130183,0.608,0.0,0.6291,0.4125,0.2434,0.0717,0.0097,445.0,445.0,440.0,6894.0,77
24893411,,,,,,,,,,,,69
141796,0.1018,0.0,0.5049,0.0942,0.0117,0.0852,0.4199,,,,5235.0,34
366270,0.6515,0.0,0.0,0.2464,0.7107,0.025,0.0036,,,,280.0,25
216418,0.7245,0.0,0.0,0.7844,0.1088,0.0324,0.0,,,,524.0,51
154101,0.6375,0.0438,0.0325,0.8178,0.0167,0.0483,0.0074,543.0,500.0,,1076.0,67
173911,0.4639,0.0,0.4194,0.7215,0.1128,0.1,0.0169,,,,2420.0,43
448424,0.625,0.0,0.3611,0.5833,0.1389,0.0556,0.0556,,,,72.0,43
127200,0.2901,0.0019,0.6604,0.6574,0.0184,0.1734,0.0361,,,,14543.0,45
206589,0.5054,0.0243,0.004,0.6742,0.0823,0.05,0.048,615.0,595.0,595.0,1980.0,78
107831,0.6486,0.0,0.0,0.8472,0.1111,0.0139,0.0,,,,72.0,109
238175,0.5,0.0,0.040999999999999995,0.7705,0.0492,0.1393,0.0246,,,,122.0,47
233091,0.9009,0.0,0.2382,0.4088,0.5265,0.0118,0.0,,,,340.0,96
153524,0.3979,0.0,0.2051,0.6785,0.1446,0.071,0.0116,,,,3437.0,37
212267,0.7458,0.0,0.2584,0.5618,0.1236,0.2135,0.0,,,,89.0,71
451866,0.6743,0.0,0.0,0.2189,0.7138,0.0236,0.0034,,,,297.0,64
15085302,,,,,,,,,,,,77
460701,0.6422,0.0,0.7923,0.1923,0.4385,0.3692,0.0,,,,130.0,63
118772,0.0289,0.0,0.8256,0.1738,0.271,0.2621,0.1702,,,,5827.0,44
